  row	col	aot
   3.6000000000000000e+01   1.7000000000000000e+01   1.0085999965667725e-01
   3.6000000000000000e+01   1.8000000000000000e+01   1.0580000281333923e-01
   3.6000000000000000e+01   1.9000000000000000e+01   1.0068000108003616e-01
   3.6000000000000000e+01   2.0000000000000000e+01   1.0200999677181244e-01
   3.6000000000000000e+01   2.1000000000000000e+01   1.0784000158309937e-01
   3.6000000000000000e+01   2.2000000000000000e+01   1.0418999940156937e-01
   3.6000000000000000e+01   2.3000000000000000e+01   9.9590003490447998e-02
   3.6000000000000000e+01   2.4000000000000000e+01   8.8780000805854797e-02
   3.6000000000000000e+01   2.5000000000000000e+01   8.8760003447532654e-02
   3.6000000000000000e+01   2.6000000000000000e+01   8.8720001280307770e-02
   3.6000000000000000e+01   2.7000000000000000e+01   9.3290001153945923e-02
   3.6000000000000000e+01   2.8000000000000000e+01   1.0486999899148941e-01
   3.7000000000000000e+01   1.5000000000000000e+01   1.0356000065803528e-01
   3.7000000000000000e+01   1.6000000000000000e+01   1.0768000036478043e-01
   3.7000000000000000e+01   1.7000000000000000e+01   1.0689999908208847e-01
   3.7000000000000000e+01   1.8000000000000000e+01   1.3190999627113342e-01
   3.7000000000000000e+01   1.9000000000000000e+01   1.0915999859571457e-01
   3.7000000000000000e+01   2.0000000000000000e+01   1.1010000109672546e-01
   3.7000000000000000e+01   2.1000000000000000e+01   1.0784000158309937e-01
   3.7000000000000000e+01   2.2000000000000000e+01   1.0563000291585922e-01
   3.7000000000000000e+01   2.3000000000000000e+01   9.7659997642040253e-02
   3.7000000000000000e+01   2.4000000000000000e+01   9.2100001871585846e-02
   3.7000000000000000e+01   2.5000000000000000e+01   8.8059999048709869e-02
   3.7000000000000000e+01   2.6000000000000000e+01   8.9259997010231018e-02
   3.7000000000000000e+01   2.7000000000000000e+01   9.0860001742839813e-02
   3.7000000000000000e+01   2.8000000000000000e+01   9.9619999527931213e-02
   3.7000000000000000e+01   2.9000000000000000e+01   1.0275000333786011e-01
   3.8000000000000000e+01   1.7000000000000000e+01   1.1711999773979187e-01
   3.8000000000000000e+01   1.8000000000000000e+01   1.3190999627113342e-01
   3.8000000000000000e+01   1.9000000000000000e+01   1.2961000204086304e-01
   3.8000000000000000e+01   2.0000000000000000e+01   1.2046000361442566e-01
   3.8000000000000000e+01   2.1000000000000000e+01   1.0907000303268433e-01
   3.8000000000000000e+01   2.2000000000000000e+01   1.0486999899148941e-01
   3.8000000000000000e+01   2.3000000000000000e+01   9.9660001695156097e-02
   3.8000000000000000e+01   2.4000000000000000e+01   1.0057999938726425e-01
   3.8000000000000000e+01   2.5000000000000000e+01   8.8059999048709869e-02
   3.8000000000000000e+01   2.6000000000000000e+01   9.7180001437664032e-02
   3.8000000000000000e+01   2.7000000000000000e+01   9.5020003616809845e-02
   3.8000000000000000e+01   2.8000000000000000e+01   9.5320001244544983e-02
   3.8000000000000000e+01   2.9000000000000000e+01   9.6089996397495270e-02
   3.8000000000000000e+01   3.0000000000000000e+01   1.0147999972105026e-01
   3.9000000000000000e+01   1.9000000000000000e+01   5.9500001370906830e-02
   3.9000000000000000e+01   2.0000000000000000e+01   1.2669000029563904e-01
   3.9000000000000000e+01   2.1000000000000000e+01   1.0814999788999557e-01
   3.9000000000000000e+01   2.2000000000000000e+01   1.0486999899148941e-01
   3.9000000000000000e+01   2.3000000000000000e+01   1.0401999950408936e-01
   3.9000000000000000e+01   2.4000000000000000e+01   1.0068999975919724e-01
   3.9000000000000000e+01   2.5000000000000000e+01   9.4619996845722198e-02
   3.9000000000000000e+01   2.6000000000000000e+01   9.5550000667572021e-02
   3.9000000000000000e+01   2.7000000000000000e+01   9.5440000295639038e-02
   3.9000000000000000e+01   2.8000000000000000e+01   9.5210000872612000e-02
   3.9000000000000000e+01   2.9000000000000000e+01   9.6089996397495270e-02
   3.9000000000000000e+01   3.0000000000000000e+01   9.9550001323223114e-02
   3.9000000000000000e+01   3.1000000000000000e+01   9.2720001935958862e-02
   3.9000000000000000e+01   3.2000000000000000e+01   1.0587999969720840e-01
   3.9000000000000000e+01   3.4000000000000000e+01   1.1838000267744064e-01
   4.0000000000000000e+01   1.9000000000000000e+01   5.9500001370906830e-02
   4.0000000000000000e+01   2.0000000000000000e+01   1.0100000351667404e-01
   4.0000000000000000e+01   2.1000000000000000e+01   1.1134999990463257e-01
   4.0000000000000000e+01   2.2000000000000000e+01   9.7479999065399170e-02
